"","fmin","fminB","CFI","RMSEA","FC.Size","PercentMissing","PatternNumber","NumMissVar","Strength"
"92",0.0925,4.6984,0.9803,0.0414,0.9,"20%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"93",0.2875,4.4508,0.9354,0.073,0.8,"20%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"94",0.5274,4.2743,0.8766,0.0988,0.7,"20%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"95",0.7833,4.1428,0.8109,0.1204,0.6,"20%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"96",1.0439,4.0428,0.7418,0.139,0.5,"20%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"97",1.2801,3.9694,0.6775,0.154,0.4,"20%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"98",1.4727,3.9153,0.6239,0.1651,0.3,"20%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"99",1.6108,3.8787,0.5847,0.1727,0.2,"20%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"100",0,4.3778,1,0,1,"50%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"101",0.0676,4.0474,0.9833,0.0354,0.9,"50%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"102",0.2116,3.8267,0.9447,0.0626,0.8,"50%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"103",0.3852,3.6634,0.8949,0.0845,0.7,"50%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"104",0.5618,3.5412,0.8414,0.102,0.6,"50%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"105",0.732,3.4474,0.7877,0.1164,0.5,"50%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"106",0.8751,3.3801,0.7411,0.1273,0.4,"50%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"107",0.9889,3.3289,0.703,0.1353,0.3,"50%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"108",1.0717,3.2949,0.6747,0.1409,0.2,"50%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"109",1e-04,5.5509,1,3e-04,1,"0%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"110",0.1071,5.1431,0.9792,0.0445,0.9,"0%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"111",0.3304,4.8812,0.9323,0.0782,0.8,"0%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"112",0.6033,4.6962,0.8716,0.1057,0.7,"0%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"113",0.8991,4.5597,0.8028,0.129,0.6,"0%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"114",1.2052,4.4573,0.7296,0.1494,0.5,"0%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"115",1.5146,4.3807,0.6543,0.1675,0.4,"0%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"116",1.7912,4.3251,0.5859,0.1821,0.3,"0%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"117",1.9814,4.2872,0.5379,0.1915,0.2,"0%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"118",1e-04,4.8649,1,4e-04,1,"20%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"119",0.0871,4.5381,0.9808,0.0401,0.9,"20%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"120",0.2691,4.3294,0.9379,0.0706,0.8,"20%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"121",0.4924,4.1818,0.8823,0.0955,0.7,"20%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"122",0.735,4.0729,0.8195,0.1167,0.6,"20%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"123",0.9854,3.9894,0.753,0.1351,0.5,"20%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"124",1.2288,3.9294,0.6873,0.1508,0.4,"20%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"125",1.4375,3.8856,0.6301,0.1632,0.3,"20%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"126",1.5861,3.8551,0.5886,0.1714,0.2,"20%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"127",1e-04,3.8398,1,3e-04,1,"50%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"128",0.0553,3.6349,0.9848,0.032,0.9,"50%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"129",0.1717,3.505,0.951,0.0564,0.8,"50%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"130",0.3144,3.4111,0.9078,0.0763,0.7,"50%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"131",0.4691,3.3427,0.8597,0.0932,0.6,"50%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"132",0.6274,3.29,0.8093,0.1078,0.5,"50%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"133",0.7737,3.2528,0.7622,0.1197,0.4,"50%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"134",0.8981,3.2249,0.7215,0.129,0.3,"50%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"135",0.9903,3.2072,0.6912,0.1354,0.2,"50%"," Minimum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"136",1e-04,5.5509,1,3e-04,1,"0%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"137",0.1071,5.1431,0.9792,0.0445,0.9,"0%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"138",0.3304,4.8812,0.9323,0.0782,0.8,"0%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"139",0.6033,4.6962,0.8716,0.1057,0.7,"0%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"140",0.8991,4.5597,0.8028,0.129,0.6,"0%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"141",1.2052,4.4573,0.7296,0.1494,0.5,"0%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"142",1.5146,4.3807,0.6543,0.1675,0.4,"0%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"143",1.7912,4.3251,0.5859,0.1821,0.3,"0%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"144",1.9814,4.2872,0.5379,0.1915,0.2,"0%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"145",1e-04,4.8441,1,5e-04,1,"20%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"146",0.0845,4.4811,0.9812,0.0395,0.9,"20%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"147",0.2637,4.2412,0.9378,0.0699,0.8,"20%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"148",0.4835,4.0698,0.8812,0.0946,0.7,"20%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"149",0.7148,3.9415,0.8187,0.115,0.6,"20%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"150",0.9468,3.8443,0.7537,0.1324,0.5,"20%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"151",1.149,3.7721,0.6954,0.1459,0.4,"20%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"152",1.3122,3.7179,0.6471,0.1559,0.3,"20%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"153",1.4297,3.6815,0.6116,0.1627,0.2,"20%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"154",1e-04,3.8023,1,2e-04,1,"50%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"155",0.0455,3.5322,0.9871,0.029,0.9,"50%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"156",0.1422,3.3428,0.9575,0.0513,0.8,"50%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"157",0.2558,3.2003,0.9201,0.0688,0.7,"50%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"158",0.3687,3.0943,0.8809,0.0826,0.6,"50%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"159",0.475,3.0103,0.8422,0.0938,0.5,"50%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"160",0.5605,2.95,0.81,0.1019,0.4,"50%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"161",0.6277,2.9028,0.7838,0.1078,0.3,"50%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"162",0.6778,2.8723,0.764,0.112,0.2,"50%","Maximum Missing Pattern","Six Variables with Missing","  Zero Strength (MCAR)"
"163",1e-04,5.5509,1,3e-04,1,"0%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"164",0.1071,5.1431,0.9792,0.0445,0.9,"0%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"165",0.3304,4.8812,0.9323,0.0782,0.8,"0%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"166",0.6033,4.6962,0.8716,0.1057,0.7,"0%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"167",0.8991,4.5597,0.8028,0.129,0.6,"0%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"168",1.2052,4.4573,0.7296,0.1494,0.5,"0%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"169",1.5146,4.3807,0.6543,0.1675,0.4,"0%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"170",1.7912,4.3251,0.5859,0.1821,0.3,"0%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"171",1.9814,4.2872,0.5379,0.1915,0.2,"0%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"172",1e-04,5.0645,1,3e-04,1,"20%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"173",0.0941,4.6974,0.98,0.0417,0.9,"20%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"174",0.2919,4.4628,0.9346,0.0735,0.8,"20%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"175",0.5332,4.2951,0.8759,0.0994,0.7,"20%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"176",0.792,4.1708,0.8101,0.1211,0.6,"20%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"177",1.0593,4.0816,0.7405,0.1401,0.5,"20%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"178",1.306,4.012,0.6745,0.1555,0.4,"20%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"179",1.5104,3.9647,0.619,0.1672,0.3,"20%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"180",1.6558,3.9286,0.5785,0.1751,0.2,"20%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"181",1e-04,4.9223,1,2e-04,1,"50%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"182",0.0885,4.5611,0.9806,0.0405,0.9,"50%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"183",0.2746,4.3231,0.9365,0.0713,0.8,"50%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
