"","fmin","fminB","CFI","RMSEA","FC.Size","PercentMissing","PatternNumber","NumMissVar","Strength"
"413",1.7912,4.3251,0.5859,0.1821,0.3,"0%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"414",1.9814,4.2872,0.5379,0.1915,0.2,"0%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"415",0,4.743,1,0,1,"20%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"416",0.0907,4.4308,0.9796,0.041,0.9,"20%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"417",0.28,4.2446,0.934,0.072,0.8,"20%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"418",0.5111,4.1207,0.876,0.0973,0.7,"20%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"419",0.7596,4.0334,0.8117,0.1186,0.6,"20%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"420",1.0116,3.9686,0.7451,0.1369,0.5,"20%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"421",1.2544,3.9274,0.6806,0.1524,0.4,"20%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"422",1.4608,3.8952,0.625,0.1645,0.3,"20%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"423",1.6098,3.8739,0.5845,0.1727,0.2,"20%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"424",1e-04,4.0492,1,2e-04,1,"50%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"425",0.0656,3.7914,0.9827,0.0348,0.9,"50%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"426",0.2034,3.6329,0.944,0.0614,0.8,"50%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"427",0.3704,3.5243,0.8949,0.0828,0.7,"50%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"428",0.5461,3.4468,0.8416,0.1006,0.6,"50%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"429",0.7158,3.3857,0.7886,0.1151,0.5,"50%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"430",0.8693,3.3515,0.7406,0.1269,0.4,"50%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"431",0.9937,3.3212,0.7008,0.1356,0.3,"50%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"432",1.084,3.3016,0.6717,0.1417,0.2,"50%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"433",1e-04,5.5509,1,3e-04,1,"0%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"434",0.1071,5.1431,0.9792,0.0445,0.9,"0%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"435",0.3304,4.8812,0.9323,0.0782,0.8,"0%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"436",0.6033,4.6962,0.8716,0.1057,0.7,"0%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"437",0.8991,4.5597,0.8028,0.129,0.6,"0%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"438",1.2052,4.4573,0.7296,0.1494,0.5,"0%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"439",1.5146,4.3807,0.6543,0.1675,0.4,"0%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"440",1.7912,4.3251,0.5859,0.1821,0.3,"0%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"441",1.9814,4.2872,0.5379,0.1915,0.2,"0%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"442",1e-04,4.0984,1,5e-04,1,"20%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"443",0.0658,3.8234,0.9828,0.0349,0.9,"20%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"444",0.2028,3.6449,0.9444,0.0613,0.8,"20%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"445",0.369,3.5211,0.8952,0.0827,0.7,"20%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"446",0.5408,3.4304,0.8424,0.1001,0.6,"20%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"447",0.7068,3.364,0.7899,0.1144,0.5,"20%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"448",0.8497,3.3178,0.7439,0.1254,0.4,"20%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"449",0.9629,3.2821,0.7066,0.1335,0.3,"20%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"450",1.0449,3.2589,0.6794,0.1391,0.2,"20%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"451",1e-04,3.685,1,0,1,"50%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"452",0.0468,3.4443,0.9864,0.0294,0.9,"50%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"453",0.1447,3.2808,0.9559,0.0518,0.8,"50%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"454",0.2614,3.1618,0.9173,0.0696,0.7,"50%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"455",0.3776,3.0699,0.877,0.0836,0.6,"50%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"456",0.486,3.0015,0.8381,0.0949,0.5,"50%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"457",0.5756,2.9515,0.805,0.1032,0.4,"50%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"458",0.6486,2.9171,0.7777,0.1096,0.3,"50%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"459",0.701,2.8919,0.7576,0.1139,0.2,"50%","Maximum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"460",1e-04,5.5509,1,3e-04,1,"0%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"461",0.1071,5.1431,0.9792,0.0445,0.9,"0%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"462",0.3304,4.8812,0.9323,0.0782,0.8,"0%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"463",0.6033,4.6962,0.8716,0.1057,0.7,"0%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"464",0.8991,4.5597,0.8028,0.129,0.6,"0%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"465",1.2052,4.4573,0.7296,0.1494,0.5,"0%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"466",1.5146,4.3807,0.6543,0.1675,0.4,"0%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"467",1.7912,4.3251,0.5859,0.1821,0.3,"0%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"468",1.9814,4.2872,0.5379,0.1915,0.2,"0%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"469",1e-04,4.3439,1,0,1,"20%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"470",0.082,4.0877,0.98,0.039,0.9,"20%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"471",0.2535,3.943,0.9357,0.0685,0.8,"20%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"472",0.4616,3.8534,0.8802,0.0925,0.7,"20%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"473",0.6853,3.7935,0.8194,0.1126,0.6,"20%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"474",0.9097,3.7514,0.7575,0.1298,0.5,"20%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"475",1.1279,3.7269,0.6974,0.1445,0.4,"20%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"476",1.3137,3.7082,0.6457,0.156,0.3,"20%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"477",1.4516,3.6986,0.6075,0.164,0.2,"20%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"478",1e-04,3.3154,1,2e-04,1,"50%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"479",0.0469,3.1677,0.9852,0.0295,0.9,"50%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"480",0.1449,3.0862,0.953,0.0518,0.8,"50%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"481",0.264,3.0366,0.9131,0.0699,0.7,"50%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"482",0.388,3.0033,0.8708,0.0848,0.6,"50%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"483",0.5071,2.9782,0.8297,0.0969,0.5,"50%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"484",0.6155,2.9696,0.7927,0.1068,0.4,"50%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"485",0.7046,2.9615,0.7621,0.1142,0.3,"50%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"486",0.772,2.9582,0.7391,0.1196,0.2,"50%","Maximum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
